;;;WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche)
;;;WZ08-B-08 Produzierendes Gewerbe und Dienstleistungsbereich;WZ08-B-09 Produzierendes Gewerbe und wirtschaftl. Dienstl.;WZ08-B-05 Produzierendes Gewerbe;WZ08-B Bergbau und Gewinnung von Steinen und Erden;WZ08-C Verarbeitendes Gewerbe;WZ08-D Energieversorgung;WZ08-E Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;WZ08-F Baugewerbe;WZ08-G-02 Dienstleistungsbereich;WZ08-G-03 Wirtschaftliche Dienstleistungen;WZ08-G Handel, Instandhaltung und Reparatur von Kfz;WZ08-H Verkehr und Lagerei;WZ08-I Gastgewerbe;WZ08-J Information und Kommunikation;WZ08-K Erbringung von Finanz- und Versicherungsleistungen;WZ08-L Grundstücks- und Wohnungswesen;WZ08-M Freiberufliche, wiss. u. techn. Dienstleistungen;WZ08-N Sonstige wirtschaftliche Dienstleistungen;WZ08-O-01 Öffentliche und persönliche Dienstleistungen;WZ08-O Öff. Verwaltung, Verteidigung, Sozialversicherung;WZ08-P Erziehung und Unterricht;WZ08-Q Gesundheits- und Sozialwesen;WZ08-R Kunst, Unterhaltung und Erholung;WZ08-S Erbringung von sonstigen Dienstleistungen
Originalwerte;2009;3. Quartal;81,450;80,967;81,157;78,439;80,804;75,114;80,784;84,943;81,610;80,813;82,220;86,434;80,196;81,870;75,458;78,848;80,966;76,714;82,598;82,624;86,706;81,046;86,044;75,164
Originalwerte;2009;4. Quartal;89,607;88,781;89,090;93,422;88,639;90,746;92,957;90,465;89,881;88,524;90,005;95,383;83,316;86,654;88,679;87,616;88,807;81,288;91,584;90,140;95,842;91,731;91,919;84,827
Originalwerte;2010;1. Quartal;81,018;81,159;80,359;84,541;79,660;75,970;80,491;84,966;81,330;81,840;82,183;87,104;79,973;84,461;81,041;78,704;80,921;76,417;80,655;80,542;84,792;78,955;83,266;74,680
Originalwerte;2010;2. Quartal;92,630;94,389;94,704;97,132;95,072;96,431;88,808;92,875;91,645;94,120;94,901;99,388;87,697;95,844;98,715;88,679;92,572;85,224;88,503;87,246;92,987;87,200;92,633;83,426
Originalwerte;2010;3. Quartal;82,114;81,741;81,074;79,862;80,477;75,924;80,636;85,795;82,606;82,310;83,428;89,063;81,859;82,472;78,471;81,889;81,732;77,546;82,943;82,072;87,259;82,176;85,121;76,053
Originalwerte;2010;4. Quartal;90,945;90,364;90,046;92,673;89,656;90,382;93,578;91,474;91,370;90,636;91,652;98,625;85,563;88,236;91,471;90,147;91,617;81,835;92,251;90,462;95,644;93,202;91,954;86,410
Originalwerte;2011;1. Quartal;82,161;82,260;81,535;86,719;81,045;77,882;82,119;84,699;82,455;82,876;83,580;82,992;82,174;85,540;83,345;79,731;83,454;77,896;81,892;81,410;84,912;81,345;83,850;76,557
Originalwerte;2011;2. Quartal;95,836;97,839;98,931;101,743;99,830;98,503;89,693;95,377;94,374;96,918;98,154;96,366;91,189;98,527;103,297;93,580;96,573;88,908;91,126;89,854;95,080;90,545;91,404;86,865
Originalwerte;2011;3. Quartal;84,390;83,978;83,823;83,482;83,335;77,774;81,768;88,304;84,657;84,111;85,536;85,383;84,334;84,063;80,715;85,395;85,308;80,964;85,314;84,589;89,115;84,957;84,958;79,117
Originalwerte;2011;4. Quartal;94,501;94,006;94,392;99,626;94,096;94,931;97,088;95,183;94,552;93,681;95,415;97,274;90,429;90,749;94,461;94,054;95,185;86,424;95,616;94,229;98,130;97,040;91,636;90,682
Originalwerte;2012;1. Quartal;83,109;83,614;81,897;86,127;80,894;78,403;79,876;87,921;83,692;85,066;86,133;84,103;84,466;88,364;85,542;77,829;84,530;82,208;81,871;79,678;86,413;82,804;80,213;74,643
Originalwerte;2012;2. Quartal;99,940;102,667;102,831;107,011;103,813;101,929;93,669;99,113;98,555;102,532;104,486;104,255;96,287;105,351;104,940;97,348;102,249;94,324;93,303;91,257;96,061;93,722;94,563;90,876
Originalwerte;2012;3. Quartal;86,996;86,765;86,349;87,838;85,817;79,253;84,270;91,064;87,309;87,118;88,851;89,433;86,657;84,395;84,695;88,034;87,788;84,466;87,548;87,766;90,514;87,180;87,568;80,484
