GENESIS-Tabelle: 81000-0111
VGR des Bundes - Bruttolöhne und -gehälter:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland, Jahre, Wirtschaftsbereiche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Volkswirtschaftliche Gesamtrechnungen des Bundes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bruttolöhne und -gehälter (Mrd. EUR);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
WZ08-46;Großhandel (ohne Handel mit Kraftfahrzeugen);40,208;44,603;46,376;46,816;47,968;48,611;48,744;48,897;50,127;52,185;53,167;53,523;52,803;52,757;52,901;53,264;55,050;57,664;57,343;57,972;60,646;62,968;64,415;65,930;67,935;70,042;72,775;76,553;80,322;78,583;...;...
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);31,756;35,268;36,892;37,383;38,292;39,237;39,602;40,171;41,516;43,219;43,915;44,451;43,867;43,875;43,828;44,069;44,567;46,666;47,078;48,485;50,203;52,210;53,290;55,895;57,584;60,312;62,320;64,818;66,819;65,626;...;...
WZ08-H;Verkehr und Lagerei;39,395;42,493;43,183;42,434;41,861;41,183;39,450;39,656;40,463;40,793;41,710;41,785;42,256;42,432;42,788;43,745;45,515;47,544;47,636;48,442;50,755;53,009;54,276;56,541;59,486;61,686;64,730;68,607;71,748;70,705;72,916;76,137
WZ08-49;Landverkehr und Transport in Rohrfernleitungen;20,026;21,136;21,327;20,672;20,270;19,583;18,386;18,254;16,358;15,828;15,864;15,838;15,800;15,851;15,657;15,805;16,396;16,959;17,199;17,877;18,614;19,402;19,908;20,491;21,315;22,116;22,994;24,033;25,298;25,155;...;...
WZ08-50;Schifffahrt;0,969;0,964;0,887;0,816;0,795;0,782;0,769;0,771;0,790;0,742;0,733;0,750;0,756;0,791;0,910;0,957;0,995;1,091;1,137;1,109;1,133;1,118;1,101;1,085;1,066;1,053;1,031;1,036;1,041;0,982;...;...
WZ08-51;Luftfahrt;1,702;1,865;1,849;1,879;1,861;1,975;2,007;2,073;2,273;2,566;2,812;2,820;3,117;3,144;3,309;3,377;3,447;3,758;3,721;3,781;3,958;4,170;4,171;4,245;4,283;4,288;4,513;4,555;4,542;3,568;...;...
WZ08-52;Lagerei, sonstige Dienstleistungen für den Verkehr;8,432;9,336;9,562;9,747;9,923;10,202;10,270;10,846;13,478;14,041;14,437;14,628;15,029;15,323;15,646;16,208;17,053;17,965;17,683;17,709;18,911;19,829;20,372;21,646;22,983;24,139;25,396;27,294;28,839;28,508;...;...
WZ08-53;Post-, Kurier- und Expressdienste;8,266;9,192;9,558;9,320;9,012;8,641;8,018;7,712;7,564;7,616;7,864;7,749;7,554;7,323;7,266;7,398;7,624;7,771;7,896;7,966;8,139;8,490;8,724;9,074;9,839;10,090;10,796;11,689;12,028;12,492;...;...
WZ08-I;Gastgewerbe;10,685;11,617;12,399;12,784;13,172;13,516;13,840;14,347;15,100;15,795;16,200;16,492;16,020;16,130;16,418;16,736;17,498;18,168;18,733;19,287;20,018;21,173;22,033;23,019;24,618;26,128;27,130;28,492;30,079;24,137;23,789;31,383
WZ08-J;Information und Kommunikation;22,673;25,440;26,683;27,122;27,881;28,290;28,160;29,874;31,103;34,875;37,924;38,492;38,290;38,494;39,204;40,613;42,690;44,853;44,750;44,753;47,067;49,924;51,591;54,795;57,250;60,694;64,468;69,284;75,966;78,917;86,518;95,448
